clientid,date,weekdays,gains value,prices,up
0,4/30/2008,Wed,-0.524581929,7791404.009,FALSE
1,5/1/2008,Thu,,3167180.737,TRUE
2,5/2/2008,Fri,-0.868509701,9589766.961,FALSE
3,5/3/2008,Sat,-0.427010839,,FALSE
4,5/4/2008,,0.253255365,937163.4438,TRUE
5,5/5/2008,Mon,-0.681516369,949579.8802,FALSE
6,5/6/2008,Tue,0.007191158,7268426.907,
7,5/7/2008,Wed,0.674497472,7517014.783,TRUE
8,5/8/2008,Thu,-1.184100866,1920959.542,FALSE
9,5/9/2008,,-1.58036926,8456240.62,
0,4/30/2008,Wed,-0.524581929,7791404.009,FALSE
